Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
45,learn,18.080,18.320,0.240,00:18.080,00:18.320,5
46,compile,18.320,18.800,0.480,00:18.320,00:18.800,7
47,time,18.800,19.180,0.380,00:18.800,00:19.180,4
48,polymorphism.,19.180,19.960,0.780,00:19.180,00:19.960,13
49,The,20.540,20.960,0.420,00:20.540,00:20.960,3
50,booking,20.960,21.220,0.260,00:20.960,00:21.220,7
51,service,21.220,21.600,0.380,00:21.220,00:21.600,7
52,needs,21.600,21.900,0.300,00:21.600,00:21.900,5
53,to,21.900,22.140,0.240,00:21.900,00:22.140,2
54,book,22.140,22.300,0.160,00:22.140,00:22.300,4
55,a,22.300,22.400,0.100,00:22.300,00:22.400,1
56,"ticket,",22.400,22.660,0.260,00:22.400,00:22.660,7
57,but,23.120,23.260,0.140,00:23.120,00:23.260,3
58,not,23.260,23.520,0.260,00:23.260,00:23.520,3
59,every,23.520,23.920,0.400,00:23.520,00:23.920,5
60,booking,23.920,24.200,0.280,00:23.920,00:24.200,7
61,request,24.200,24.580,0.380,00:24.200,00:24.580,7
62,looks,24.580,24.940,0.360,00:24.580,00:24.940,5
63,the,24.940,25.140,0.200,00:24.940,00:25.140,3
64,same.,25.140,25.380,0.240,00:25.140,00:25.380,5
65,"Sometimes,",25.380,26.560,1.180,00:25.380,00:26.560,10
66,the,26.880,26.940,0.060,00:26.880,00:26.940,3
67,passenger,26.940,27.300,0.360,00:26.940,00:27.300,9
68,provides,27.300,27.680,0.380,00:27.300,00:27.680,8
69,just,27.680,28.080,0.400,00:27.680,00:28.080,4
70,an,28.080,28.380,0.300,00:28.080,00:28.380,2
71,ID,28.380,28.620,0.240,00:28.380,00:28.620,2
72,and,28.620,28.980,0.360,00:28.620,00:28.980,3
73,a,28.980,29.080,0.100,00:28.980,00:29.080,1
74,route.,29.080,29.280,0.200,00:29.080,00:29.280,6
75,"Sometimes,",29.800,30.260,0.460,00:29.800,00:30.260,10
76,they,30.300,30.580,0.280,00:30.300,00:30.580,4
77,add,30.580,30.800,0.220,00:30.580,00:30.800,3
78,a,30.800,30.960,0.160,00:30.800,00:30.960,1
79,seat,30.960,31.080,0.120,00:30.960,00:31.080,4
80,class.,31.080,31.380,0.300,00:31.080,00:31.380,6
81,"Sometimes,",31.840,32.340,0.500,00:31.840,00:32.340,10
82,a,32.600,32.660,0.060,00:32.600,00:32.660,1
83,concession,32.660,33.060,0.400,00:32.660,00:33.060,10
84,type,33.060,33.400,0.340,00:33.060,00:33.400,4
85,on,33.400,33.600,0.200,00:33.400,00:33.600,2
86,top,33.600,33.800,0.200,00:33.600,00:33.800,3
87,of,33.800,33.940,0.140,00:33.800,00:33.940,2
88,that.,33.940,34.140,0.200,00:33.940,00:34.140,5
89,Three,34.900,35.220,0.320,00:34.900,00:35.220,5
90,different,35.220,35.520,0.300,00:35.220,00:35.520,9
91,scenarios.,35.520,36.000,0.480,00:35.520,00:36.000,10
92,Three,36.540,36.760,0.220,00:36.540,00:36.760,5
93,different,36.760,37.040,0.280,00:36.760,00:37.040,9
94,sets,37.040,37.340,0.300,00:37.040,00:37.340,4
95,of,37.340,37.560,0.220,00:37.340,00:37.560,2
96,information.,37.560,38.020,0.460,00:37.560,00:38.020,12
97,One,38.820,39.160,0.340,00:38.820,00:39.160,3
98,"solution,",39.160,39.580,0.420,00:39.160,00:39.580,9
99,three,40.020,40.340,0.320,00:40.020,00:40.340,5
100,methods.,40.340,40.680,0.340,00:40.340,00:40.680,8
101,All,41.200,41.440,0.240,00:41.200,00:41.440,3
102,named,41.440,41.780,0.340,00:41.440,00:41.780,5
103,book,41.780,42.120,0.340,00:41.780,00:42.120,4
104,"ticket,",42.120,42.420,0.300,00:42.120,00:42.420,7
105,each,42.800,43.120,0.320,00:42.800,00:43.120,4
106,with,43.120,43.300,0.180,00:43.120,00:43.300,4
107,a,43.300,43.420,0.120,00:43.300,00:43.420,1
108,different,43.420,43.740,0.320,00:43.420,00:43.740,9
109,parameter,43.740,44.180,0.440,00:43.740,00:44.180,9
110,list.,44.180,44.540,0.360,00:44.180,00:44.540,5
111,Book,45.360,45.440,0.080,00:45.360,00:45.440,4
112,"ticket,",45.440,45.760,0.320,00:45.440,00:45.760,7
113,passenger,46.080,46.340,0.260,00:46.080,00:46.340,9
114,"ID,",46.340,46.700,0.360,00:46.340,00:46.700,3
115,route,47.080,47.180,0.100,00:47.080,00:47.180,5
116,"ID,",47.180,47.500,0.320,00:47.180,00:47.500,3
117,book,48.040,48.380,0.340,00:48.040,00:48.380,4
118,"ticket,",48.380,48.660,0.280,00:48.380,00:48.660,7
119,passenger,48.940,49.200,0.260,00:48.940,00:49.200,9
120,"ID,",49.200,49.580,0.380,00:49.200,00:49.580,3
121,route,49.860,49.980,0.120,00:49.860,00:49.980,5
122,"ID,",49.980,50.300,0.320,00:49.980,00:50.300,3
123,seat,50.600,50.680,0.080,00:50.600,00:50.680,4
124,class.,50.680,50.960,0.280,00:50.680,00:50.960,6
125,Book,50.960,51.860,0.900,00:50.960,00:51.860,4
126,"ticket,",51.860,52.120,0.260,00:51.860,00:52.120,7
127,passenger,52.440,52.660,0.220,00:52.440,00:52.660,9
128,"ID,",52.660,53.060,0.400,00:52.660,00:53.060,3
129,route,53.380,53.440,0.060,00:53.380,00:53.440,5
130,"ID,",53.440,53.780,0.340,00:53.440,00:53.780,3
131,seat,54.120,54.200,0.080,00:54.120,00:54.200,4
132,"class,",54.200,54.440,0.240,00:54.200,00:54.440,6
133,concession,54.700,55.040,0.340,00:54.700,00:55.040,10
134,type.,55.040,55.460,0.420,00:55.040,00:55.460,5
135,The,56.180,56.420,0.240,00:56.180,00:56.420,3
136,calling,56.420,56.700,0.280,00:56.420,00:56.700,7
137,code,56.700,56.980,0.280,00:56.700,00:56.980,4
138,passes,56.980,57.340,0.360,00:56.980,00:57.340,6
139,different,57.340,57.840,0.500,00:57.340,00:57.840,9
140,arguments.,57.840,58.220,0.380,00:57.840,00:58.220,10
141,The,58.840,58.980,0.140,00:58.840,00:58.980,3
142,compiler,58.980,59.280,0.300,00:58.980,00:59.280,8
143,looks,59.280,59.600,0.320,00:59.280,00:59.600,5
144,at,59.600,59.760,0.160,00:59.600,00:59.760,2
145,what,59.760,60.020,0.260,00:59.760,01:00.020,4
146,was,60.020,60.220,0.200,01:00.020,01:00.220,3
147,"passed,",60.220,60.580,0.360,01:00.220,01:00.580,7
148,and,60.880,61.000,0.120,01:00.880,01:01.000,3
149,at,61.000,61.220,0.220,01:01.000,01:01.220,2
150,compile,61.220,61.540,0.320,01:01.220,01:01.540,7
151,time,61.540,62.040,0.500,01:01.540,01:02.040,4
152,picks,62.040,62.440,0.400,01:02.040,01:02.440,5
153,the,62.440,62.680,0.240,01:02.440,01:02.680,3
154,correct,62.680,63.000,0.320,01:02.680,01:03.000,7
155,version.,63.000,63.420,0.420,01:03.000,01:03.420,8
156,This,64.060,64.480,0.420,01:04.060,01:04.480,4
157,happens,64.480,64.780,0.300,01:04.480,01:04.780,7
158,before,64.780,65.240,0.460,01:04.780,01:05.240,6
159,the,65.240,65.480,0.240,01:05.240,01:05.480,3
160,program,65.480,65.820,0.340,01:05.480,01:05.820,7
161,runs.,65.820,66.060,0.240,01:05.820,01:06.060,5
162,The,66.640,66.760,0.120,01:06.640,01:06.760,3
163,JVM,66.760,67.180,0.420,01:06.760,01:07.180,3
164,never,67.180,67.560,0.380,01:07.180,01:07.560,5
165,makes,67.560,67.800,0.240,01:07.560,01:07.800,5
166,this,67.800,67.980,0.180,01:07.800,01:07.980,4
167,decision.,67.980,68.380,0.400,01:07.980,01:08.380,9
168,The,68.700,68.800,0.100,01:08.700,01:08.800,3
169,compiler,68.800,69.200,0.400,01:08.800,01:09.200,8
170,does.,69.200,69.440,0.240,01:09.200,01:09.440,5
171,Same,70.320,70.620,0.300,01:10.320,01:10.620,4
172,method,70.620,70.920,0.300,01:10.620,01:10.920,6
173,"name,",70.920,71.160,0.240,01:10.920,01:11.160,5
174,different,71.480,71.820,0.340,01:11.480,01:11.820,9
175,parameter,71.820,72.220,0.400,01:11.820,01:12.220,9
176,signatures.,72.220,72.600,0.380,01:12.220,01:12.600,11
177,The,73.200,73.340,0.140,01:13.200,01:13.340,3
178,right,73.340,73.560,0.220,01:13.340,01:13.560,5
179,version,73.560,73.880,0.320,01:13.560,01:13.880,7
180,selected,73.880,74.300,0.420,01:13.880,01:14.300,8
181,at,74.300,74.500,0.200,01:14.300,01:14.500,2
182,compile,74.500,74.880,0.380,01:14.500,01:14.880,7
183,time.,74.880,75.300,0.420,01:14.880,01:15.300,5
184,This,75.660,76.220,0.560,01:15.660,01:16.220,4
185,is,76.220,76.540,0.320,01:16.220,01:16.540,2
186,method,76.540,76.900,0.360,01:16.540,01:16.900,6
187,"overloading,",76.900,77.620,0.720,01:16.900,01:17.620,12
188,and,77.860,78.120,0.260,01:17.860,01:18.120,3
189,method,78.120,78.460,0.340,01:18.120,01:18.460,6
190,overloading,78.460,79.160,0.700,01:18.460,01:19.160,11
191,is,79.160,79.360,0.200,01:19.160,01:19.360,2
192,compile,79.360,79.760,0.400,01:19.360,01:19.760,7
193,time,79.760,80.180,0.420,01:19.760,01:20.180,4
194,polymorphism.,80.180,80.860,0.680,01:20.180,01:20.860,13
195,That,80.860,81.820,0.960,01:20.860,01:21.820,4
196,"distinction,",81.820,82.280,0.460,01:21.820,01:22.280,12
197,compile,82.680,82.980,0.300,01:22.680,01:22.980,7
198,time,82.980,83.300,0.320,01:22.980,01:23.300,4
199,versus,83.300,83.640,0.340,01:23.300,01:23.640,6
200,"runtime,",83.640,84.060,0.420,01:23.640,01:24.060,8
201,matters,84.640,84.860,0.220,01:24.640,01:24.860,7
202,enormously.,84.860,85.600,0.740,01:24.860,01:25.600,11
203,We,86.200,86.380,0.180,01:26.200,01:26.380,2
204,will,86.380,86.480,0.100,01:26.380,01:26.480,4
205,see,86.480,86.660,0.180,01:26.480,01:26.660,3
206,exactly,86.660,87.160,0.500,01:26.660,01:27.160,7
207,why,87.160,87.520,0.360,01:27.160,01:27.520,3
208,one,87.520,87.760,0.240,01:27.520,01:27.760,3
209,runtime,87.760,88.260,0.500,01:27.760,01:28.260,7
210,polymorphism,88.260,88.940,0.680,01:28.260,01:28.940,12
211,arrives.,88.940,89.220,0.280,01:28.940,01:29.220,8
212,But,89.840,90.040,0.200,01:29.840,01:30.040,3
213,"first,",90.040,90.300,0.260,01:30.040,01:30.300,6
214,every,90.760,91.040,0.280,01:30.760,01:31.040,5
215,rule,91.040,91.440,0.400,01:31.040,01:31.440,4
216,and,91.440,91.660,0.220,01:31.440,01:31.660,3
217,edge,91.660,91.960,0.300,01:31.660,01:31.960,4
218,case,91.960,92.160,0.200,01:31.960,01:32.160,4
219,of,92.160,92.300,0.140,01:32.160,01:32.300,2
220,overloading,92.300,92.820,0.520,01:32.300,01:32.820,11
221,"itself,",92.820,93.120,0.300,01:32.820,01:33.120,7
222,that,93.560,93.880,0.320,01:33.560,01:33.880,4
223,is,93.880,94.080,0.200,01:33.880,01:34.080,2
224,exactly,94.080,94.560,0.480,01:34.080,01:34.560,7
225,what,94.560,94.800,0.240,01:34.560,01:34.800,4
226,we,94.800,94.900,0.100,01:34.800,01:34.900,2
227,cover,94.900,95.080,0.180,01:34.900,01:35.080,5
228,next.,95.080,95.380,0.300,01:35.080,01:35.380,5
